"species","firstyear","Three_gen_time_used","lastyear","start_recent_trend","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","long_term_trend","LCI_long_term_trend","UCI_long_term_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Abert's Towhee",1970,10,2019,2009,-0.7,-2.8,0.6,0.81,0.4,-0.1,1,0.6,0,1.3,-0.1,-1.8,1
"Acadian Flycatcher",1970,10,2019,2009,1.6,1,2.3,0,0.1,-0.1,0.2,-0.2,-0.4,-0.1,1.3,0.8,1.9
"Acorn Woodpecker",1970,15,2019,2004,1.6,0.6,2.7,0,0.8,0.5,1.1,0.3,-0.1,0.7,1.9,1.1,2.8
"Alder Flycatcher",1978,10,2019,2009,-0.9,-1.8,0,0.97,-0.4,-0.7,-0.1,-0.2,-0.6,0.2,-1.1,-1.8,-0.3
"Allen's Hummingbird",1970,10,2019,2009,-1.4,-4.3,0.4,0.9,-4.1,-4.8,-3.5,-3.9,-4.6,-3,-5.2,-7.8,-3.6
"American Avocet",1970,14,2019,2005,-1.9,-4.4,0.7,0.93,1.1,0.4,2,1.7,0.8,2.6,-0.2,-2.3,2.1
"American Bittern",1970,11,2019,2008,3.1,1.2,4.9,0,-0.8,-1.3,-0.4,-1.5,-2,-1,1.6,-0.2,3.2
"American Black Duck",1970,15,2019,2004,-0.9,-3.8,1.2,0.77,-1.9,-2.8,-1,-1.6,-2.7,-0.4,-2.4,-4.8,-0.8
"American Coot",1970,13,2019,2006,1.2,-2.4,4.8,0.27,-0.4,-1.4,0.4,-0.7,-1.7,0.3,0.4,-2.7,3.6
"American Crow",1970,24,2019,1995,-1.7,-2.1,-1.4,1,-0.4,-0.5,-0.2,0.5,0.3,0.7,-1.2,-1.4,-1.1
"American Dipper",1970,10,2019,2009,-1,-2.4,0.1,0.96,-0.2,-0.5,0.1,0,-0.4,0.4,-1,-2.2,0
"American Goldfinch",1970,10,2019,2009,-1.2,-1.9,-0.5,1,-0.5,-0.7,-0.3,-0.3,-0.4,0,-1.5,-2.1,-0.8
"American Kestrel",1970,10,2019,2009,-0.1,-0.9,0.7,0.58,-0.7,-0.9,-0.5,-0.7,-0.9,-0.5,-0.8,-1.6,-0.1
"American Redstart",1970,10,2019,2009,1.6,0.7,2.5,0,-0.1,-0.3,0.1,-0.4,-0.7,-0.2,1.2,0.4,1.9
"American Robin",1970,10,2019,2009,-0.8,-1.2,-0.3,1,0.3,0.1,0.4,0.4,0.3,0.6,-0.3,-0.8,0.1
"American Three-toed Woodpecker",1970,10,2019,2009,-0.3,-2.6,1.9,0.63,4,3.1,4.8,4.1,3.1,5,3.8,1.7,5.6
"American White Pelican",1970,25,2019,1994,-6.2,-9.8,-2.4,1,6.6,5.2,8.1,9.8,7.3,12.4,3.6,1.5,5.8
"Anhinga",1970,19,2019,2000,2.9,1.4,4.5,0,1.9,1.3,2.4,0.7,0,1.5,3.7,2.5,4.9
"Anna's Hummingbird",1970,10,2019,2009,0,-0.8,0.9,0.56,2.3,2,2.6,2.3,2,2.6,2.3,1.5,3.1
"Arctic Tern",1993,20,2019,1999,-0.7,-6.8,3.8,0.62,-1.8,-4.1,0.3,-1.3,-5.3,3.9,-2,-4.3,0.3
"Arctic Warbler",1993,10,2019,2009,-1.2,-5,1.5,0.77,-3.2,-4.5,-1.9,-2.7,-4.2,-1.1,-3.9,-7.1,-1.6
"Ash-throated Flycatcher",1970,10,2019,2009,-0.8,-1.4,-0.2,0.99,0.9,0.8,1.1,1.1,0.9,1.3,0.3,-0.2,0.9
"Bachman's Sparrow",1970,10,2019,2009,0.9,-1,2.7,0.19,-2.7,-3.1,-2.3,-2.9,-3.3,-2.5,-2,-3.7,-0.4
"Baird's Sparrow",1970,10,2019,2009,4.7,1.8,7.7,0,-1.7,-2.3,-1,-2.6,-3.4,-1.8,2,-0.4,4.7
"Bald Eagle",1970,25,2019,1994,-0.5,-1.9,0.9,0.78,3.2,2.5,3.8,3.4,2.1,4.6,2.9,2.4,3.4
"Baltimore Oriole",1970,10,2019,2009,-0.4,-1.1,0.2,0.9,-1,-1.2,-0.9,-0.9,-1.1,-0.8,-1.4,-2,-0.8
"Band-tailed Pigeon",1970,14,2019,2005,3.7,2.1,5.4,0,-1,-1.5,-0.5,-2,-2.7,-1.3,1.7,0.4,3
"Bank Swallow",1970,10,2019,2009,3.3,0.3,6.4,0.01,-5,-5.8,-4.1,-5.6,-6.6,-4.7,-2.3,-5,0.5
"Barn Owl",1970,18,2019,2001,-3.8,-6,-1.5,1,2.8,1.9,3.9,4.2,2.9,5.7,0.4,-1.2,2.1
"Barn Swallow",1970,10,2019,2009,-1.2,-1.7,-0.8,1,-0.8,-0.9,-0.7,-0.5,-0.7,-0.4,-1.8,-2.2,-1.3
"Barred Owl",1970,20,2019,1999,-0.2,-0.9,0.4,0.72,1.9,1.7,2.2,2,1.6,2.4,1.8,1.3,2.3
"Barrow's Goldeneye",1970,20,2019,1999,-2.8,-5,-0.7,1,-1.1,-1.8,-0.4,0.1,-1,1.2,-2.7,-4.2,-1.4
"Bay-breasted Warbler",1970,10,2019,2009,6.3,2.9,9.9,0,1.6,0.7,2.5,0.3,-0.4,1.1,6.6,3.4,10
"Bell's Sparrow",1970,10,2019,2009,-0.3,-2.1,1.3,0.62,0.2,-0.4,0.8,0.2,-0.4,0.9,0,-1.7,1.4
"Bell's Vireo",1970,10,2019,2009,1.7,0.5,2.8,0,0.4,0.1,0.6,0,-0.3,0.3,1.7,0.6,2.7
"Belted Kingfisher",1970,10,2019,2009,0.3,-0.6,1.4,0.29,-1.3,-1.5,-1.1,-1.4,-1.6,-1.1,-1.1,-1.9,-0.1
"Bendire's Thrasher",1970,10,2019,2009,0.7,-0.8,3.8,0.23,-3.4,-4,-2.8,-3.6,-4.2,-3,-2.8,-4.3,-0.1
"Bewick's Wren",1970,10,2019,2009,3.1,1.6,4.5,0,-0.3,-0.8,0.2,-0.9,-1.6,-0.2,2.1,1.1,3.3
"Black-and-white Warbler",1970,10,2019,2009,-0.5,-1.4,0.5,0.86,-0.3,-0.5,0,-0.2,-0.4,0.2,-0.7,-1.5,0.1
"Black-backed Woodpecker",1970,11,2019,2008,0.4,-3.7,3.9,0.36,2.8,1.7,3.9,2.7,1.5,4.2,3.1,0,6.2
"Black-billed Cuckoo",1970,10,2019,2009,1.1,-2,4.2,0.2,-2.3,-3,-1.5,-2.6,-3.3,-1.7,-1.4,-4.1,1.4
"Black-billed Magpie",1970,13,2019,2006,1.2,0.4,2,0,-1.1,-1.4,-0.8,-1.4,-1.8,-1.1,-0.2,-0.9,0.5
"Black-capped Chickadee",1970,10,2019,2009,-2.1,-2.9,-1.2,1,0.7,0.5,0.9,1.1,0.9,1.3,-0.9,-1.7,-0.2
"Black-chinned Hummingbird",1970,10,2019,2009,-0.9,-2.3,0.1,0.96,0.9,0.6,1.2,1.1,0.8,1.4,0.2,-1,1.1
"Black-chinned Sparrow",1970,10,2019,2009,0.9,-0.6,3.3,0.14,-2.8,-3.4,-2.3,-3,-3.7,-2.4,-2.1,-3.5,-0.1
"Black-crested Titmouse",1970,10,2019,2009,-1,-2.3,0.6,0.91,0,-0.4,0.4,0.2,-0.2,0.6,-0.8,-2,0.7
"Black-crowned Night-Heron",1970,18,2019,2001,-2.9,-4.4,-1.5,1,-0.6,-1.1,0,0.5,-0.2,1.3,-2.4,-3.4,-1.3
"Black-headed Grosbeak",1970,10,2019,2009,-0.8,-1.4,-0.1,0.98,0.4,0.2,0.6,0.5,0.3,0.7,-0.2,-0.8,0.4
"Black-necked Stilt",1970,17,2019,2002,-5.2,-7.4,-3,1,2.2,1.5,3,4.1,3.1,5.1,-1.1,-2.8,0.6
"Black-tailed Gnatcatcher",1970,10,2019,2009,1.8,-1,6.1,0.21,0.8,0.1,1.8,0.5,-0.4,1.3,2.2,-0.4,6.3
"Black-throated Blue Warbler",1970,10,2019,2009,-3.2,-4.3,-2.1,1,1.4,1.1,1.7,2,1.7,2.3,-1.1,-2.2,-0.2
"Black-throated Gray Warbler",1970,10,2019,2009,0.2,-1,1.6,0.37,-0.7,-1.1,-0.3,-0.8,-1.2,-0.3,-0.5,-1.6,0.6
"Black-throated Green Warbler",1970,10,2019,2009,-1.9,-2.9,-0.8,1,0.1,-0.2,0.4,0.5,0.1,0.9,-1.4,-2.3,-0.5
"Black-throated Sparrow",1970,10,2019,2009,0,-0.9,0.9,0.53,-0.7,-0.9,-0.4,-0.7,-1,-0.4,-0.7,-1.5,0.1
"Black-whiskered Vireo",1993,10,2019,2009,-0.1,-3.2,3.1,0.54,-1.1,-2.3,0.2,-1,-2.6,0.6,-1.1,-3.4,1.4
"Black Phoebe",1970,10,2019,2009,-0.9,-2.7,0.9,0.86,3.1,2.6,3.6,3.3,2.7,3.8,2.3,0.8,3.9
"Black Skimmer",1970,22,2019,1997,-0.3,-3,1.8,0.59,-1.7,-2.8,-0.8,-1.6,-2.9,-0.2,-1.9,-3.7,-0.4
"Black Swift",1970,12,2019,2007,-0.6,-4.8,3.3,0.65,-4.1,-5.5,-2.8,-4,-5.5,-2.3,-4.6,-8.1,-1
"Black Tern",1970,18,2019,2001,5.3,3.1,7.7,0,-2.2,-3.2,-1.4,-4.1,-5.2,-3.1,1.2,-0.8,3.2
"Black Vulture",1970,25,2019,1994,2.9,2,3.8,0,4,3.7,4.4,2.5,1.9,3.2,5.5,5,6
"Blackburnian Warbler",1970,10,2019,2009,-1.2,-2.1,-0.1,0.98,0.2,0,0.5,0.5,0.2,0.8,-0.7,-1.6,0.2
"Blackpoll Warbler",1970,10,2019,2009,0.6,-0.9,2.9,0.26,-4,-4.6,-3.1,-4.1,-4.8,-3.3,-3.5,-4.8,-1.2
"Blue-gray Gnatcatcher",1970,10,2019,2009,-1.9,-2.6,-1.2,1,0.7,0.5,0.9,1.1,0.9,1.3,-0.8,-1.4,-0.2
"Blue-headed Vireo",1970,10,2019,2009,-3.5,-4.8,-2.3,1,3.1,2.6,3.5,3.8,3.3,4.3,0.3,-0.8,1.3
"Blue-winged Warbler",1970,10,2019,2009,-3.1,-4.8,-1.3,1,-0.7,-1,-0.3,-0.1,-0.4,0.3,-3.1,-4.7,-1.5
"Blue Grosbeak",1970,10,2019,2009,-0.9,-1.5,-0.4,1,0.9,0.8,1.1,1.1,1,1.3,0.2,-0.3,0.7
"Blue Jay",1970,16,2019,2003,0.1,-0.2,0.4,0.25,-0.6,-0.7,-0.5,-0.7,-0.8,-0.5,-0.6,-0.8,-0.3
"Boat-tailed Grackle",1970,12,2019,2007,-2.5,-4.2,-0.8,1,-0.4,-0.9,0,0.2,-0.4,0.7,-2.3,-3.7,-0.8
"Bobolink",1970,10,2019,2009,-1.1,-1.9,-0.3,1,-1.9,-2.1,-1.7,-1.7,-1.9,-1.5,-2.8,-3.6,-2.1
"Bohemian Waxwing",1993,10,2019,2009,0.4,-2.6,4.4,0.4,-4.1,-5.6,-2.6,-4.3,-6.2,-2.4,-3.8,-6.3,-0.9
"Bonaparte's Gull",1993,20,2019,1999,-1.4,-9.1,3.2,0.66,-1.9,-4.4,0.3,-0.8,-5.2,5.5,-2.2,-5.1,0.4
"Boreal Chickadee",1970,10,2019,2009,0,-1.3,1.2,0.48,-0.5,-0.9,-0.1,-0.5,-1,0,-0.4,-1.6,0.5
"Brewer's Blackbird",1970,10,2019,2009,-1.5,-2.2,-0.8,1,-2.1,-2.3,-1.9,-1.8,-2,-1.6,-3.3,-3.9,-2.7
"Brewer's Sparrow",1970,10,2019,2009,-1.5,-2.7,-0.4,1,-1.7,-2,-1.4,-1.4,-1.7,-1,-2.9,-3.9,-2
"Bridled Titmouse",1993,10,2019,2009,0.4,-2.4,4.1,0.39,0.1,-1.3,1.5,-0.1,-1.9,1.7,0.4,-1.8,3
"Broad-tailed Hummingbird",1970,10,2019,2009,-1.7,-2.6,-0.8,1,-0.9,-1.2,-0.7,-0.6,-0.9,-0.3,-2.3,-3.1,-1.5
"Broad-winged Hawk",1970,18,2019,2001,0.5,-0.3,1.2,0.09,1.2,0.9,1.5,1,0.6,1.4,1.5,0.9,2.1
"Bronzed Cowbird",1970,10,2019,2009,-2.1,-4.7,0.6,0.94,-0.7,-1.3,-0.1,-0.2,-0.9,0.4,-2.3,-4.7,0.2
"Brown-crested Flycatcher",1970,10,2019,2009,-4.1,-6.5,-1.6,1,2.5,2,3.1,3.4,2.8,4,-0.7,-2.8,1.5
"Brown-headed Cowbird",1970,10,2019,2009,-1.1,-1.7,-0.6,1,-0.6,-0.8,-0.5,-0.4,-0.5,-0.3,-1.5,-2,-1
"Brown-headed Nuthatch",1970,10,2019,2009,-1.3,-2.5,0,0.98,-0.5,-0.8,-0.2,-0.2,-0.5,0.1,-1.5,-2.6,-0.4
"Brown Creeper",1970,10,2019,2009,-1.6,-2.5,-0.6,1,0.9,0.7,1.1,1.2,1,1.5,-0.4,-1.2,0.5
"Brown Pelican",1970,25,2019,1994,-12.4,-16.4,-8.7,1,3.1,2,4.4,9.6,7.3,12.2,-2.8,-4.8,-0.7
"Brown Thrasher",1970,10,2019,2009,0.7,0.3,1.1,0,-1,-1.1,-0.9,-1.1,-1.2,-1,-0.4,-0.8,-0.1
"Bufflehead",1970,17,2019,2002,-0.9,-3.5,1,0.78,2.6,1.7,3.4,2.9,1.8,3.9,2,-0.1,3.5
"Bullock's Oriole",1970,10,2019,2009,-0.8,-1.6,-0.1,0.98,-0.6,-0.8,-0.5,-0.5,-0.7,-0.3,-1.3,-2,-0.6
"Burrowing Owl",1970,10,2019,2009,1.4,-0.8,3.6,0.11,-0.4,-0.9,0.1,-0.7,-1.3,-0.1,0.7,-1.2,2.7
"Bushtit",1970,10,2019,2009,-1.6,-3.4,0.1,0.96,-0.6,-1.1,-0.1,-0.3,-0.8,0.3,-1.9,-3.5,-0.4
"Cactus Wren",1970,10,2019,2009,0,-1.5,2.1,0.59,-1.7,-2.1,-1.3,-1.7,-2.2,-1.3,-1.8,-3.1,0
"California Gull",1970,25,2019,1994,-4.4,-6.8,-2,1,-0.6,-1.4,0.2,1.6,0.1,3.2,-2.7,-4,-1.5
"California Quail",1970,10,2019,2009,-0.7,-2.8,1.4,0.76,1.1,0.6,1.5,1.2,0.7,1.7,0.5,-1.3,2.4
"California Scrub-Jay",1970,15,2019,2004,-2.2,-2.8,-1.6,1,0,-0.2,0.2,0.7,0.5,0.9,-1.5,-2,-1
"California Thrasher",1970,10,2019,2009,2.8,1.1,4.7,0,-1.1,-1.5,-0.7,-1.7,-2.1,-1.3,1.1,-0.4,2.9
"California Towhee",1970,10,2019,2009,-1.3,-2.2,-0.5,1,-0.4,-0.6,-0.2,-0.1,-0.3,0.1,-1.4,-2.2,-0.7
"Calliope Hummingbird",1970,10,2019,2009,-0.4,-1.9,0.5,0.77,-0.1,-0.4,0.3,0,-0.4,0.4,-0.5,-1.7,0.4
"Canada Jay",1970,12,2019,2007,-0.5,-1.7,0.5,0.82,0.2,-0.1,0.6,0.3,-0.1,0.8,-0.1,-1.1,0.7
"Canada Warbler",1970,10,2019,2009,4.9,3.3,6.7,0,-1.5,-1.8,-1.2,-2.5,-2.9,-2.1,2.4,1,4
"Canyon Towhee",1970,10,2019,2009,-0.7,-1.9,0.4,0.91,-1.3,-1.6,-1,-1.1,-1.5,-0.8,-1.9,-2.9,-0.8
"Canyon Wren",1970,10,2019,2009,-0.2,-1,0.7,0.66,-0.2,-0.4,0.1,-0.1,-0.4,0.2,-0.3,-1,0.4
"Cape May Warbler",1970,10,2019,2009,6.8,3.2,10.4,0,1.6,0.4,2.9,0.2,-1.1,1.7,7,3.7,10.3
"Carolina Chickadee",1970,10,2019,2009,-3,-3.6,-2.3,1,-0.6,-0.7,-0.4,0.1,-0.1,0.2,-2.9,-3.5,-2.3
"Carolina Wren",1970,10,2019,2009,0,-1.4,1.5,0.49,1.3,0.9,1.6,1.3,0.9,1.7,1.3,0,2.6
"Caspian Tern",1970,25,2019,1994,-6.3,-8.4,-4.4,1,1.5,0.9,2.3,4.8,3.5,6.3,-1.5,-2.5,-0.5
"Cassin's Finch",1970,10,2019,2009,1.7,-0.1,3.5,0.03,-0.1,-0.7,0.5,-0.5,-1.1,0.2,1.2,-0.3,2.8
"Cassin's Kingbird",1970,10,2019,2009,0.1,-1.3,1.3,0.45,-0.2,-0.6,0.2,-0.2,-0.6,0.2,-0.1,-1.3,0.9
"Cassin's Sparrow",1970,10,2019,2009,1,-1.5,3.5,0.18,-0.9,-1.4,-0.2,-1.1,-1.7,-0.3,-0.1,-2.2,2.1
"Cassin's Vireo",1970,10,2019,2009,-1.2,-2.4,0.1,0.96,0.8,0.5,1.1,1,0.7,1.4,-0.2,-1.2,1
"Cattle Egret",1970,19,2019,2000,-5.5,-6.7,-4.3,1,-1,-1.4,-0.6,1.2,0.6,1.8,-4.3,-5.2,-3.5
"Cave Swallow",1970,10,2019,2009,-80.2,-98.2,-61.4,1,59,49.5,68.3,79.5,67.3,93.1,-0.7,-12.4,11.8
"Cedar Waxwing",1970,10,2019,2009,-3.3,-4.6,-2,1,0.6,0.1,1,1.3,0.7,1.7,-2,-3.1,-0.9
"Cerulean Warbler",1970,10,2019,2009,2,0.2,3.9,0.02,-2.6,-3,-2.2,-3,-3.5,-2.6,-1.1,-2.7,0.7
"Chestnut-backed Chickadee",1970,10,2019,2009,-1.8,-3,-0.6,1,-0.7,-1.1,-0.4,-0.4,-0.7,0,-2.2,-3.2,-1.1
"Chestnut-collared Longspur",1970,10,2019,2009,-0.9,-3.2,1.4,0.77,-3.3,-3.7,-2.8,-3.1,-3.7,-2.5,-4,-6,-2
"Chestnut-sided Warbler",1970,10,2019,2009,1.6,0.8,2.4,0,-1.1,-1.3,-0.9,-1.4,-1.7,-1.1,0.2,-0.5,0.9
"Chihuahuan Raven",1970,17,2019,2002,-2.8,-4,-1.6,1,0.4,0,0.9,1.4,0.9,2,-1.4,-2.3,-0.5
"Chimney Swift",1970,10,2019,2009,-0.5,-1.1,0.1,0.95,-2.4,-2.6,-2.3,-2.3,-2.5,-2.2,-2.8,-3.3,-2.3
"Chipping Sparrow",1970,10,2019,2009,-1.8,-2.5,-1.2,1,-0.6,-0.9,-0.3,-0.2,-0.5,0.2,-2,-2.6,-1.5
"Chuck-will's-widow",1970,13,2019,2006,0.6,0,1.3,0.02,-1.9,-2.1,-1.7,-2.1,-2.2,-1.9,-1.4,-2,-0.9
"Chukar",1970,10,2019,2009,0.3,-3.5,4.2,0.44,0.2,-0.6,1,0.2,-0.8,1.1,0.5,-2.7,3.9
"Cinnamon Teal",1970,10,2019,2009,1.1,-1.3,3.8,0.19,-0.9,-1.5,-0.3,-1.1,-1.8,-0.5,-0.1,-2.2,2.3
"Clapper Rail",1970,10,2019,2009,-0.1,-1.6,1.2,0.56,-0.2,-0.6,0.3,-0.2,-0.7,0.4,-0.3,-1.5,0.9
"Clark's Nutcracker",1970,14,2019,2005,-3.9,-5.1,-2.6,1,0.5,0.1,0.9,1.6,1.1,2.1,-2.3,-3.2,-1.3
"Clay-colored Sparrow",1970,10,2019,2009,-0.4,-1.3,0.5,0.8,-1.1,-1.3,-0.9,-1,-1.3,-0.8,-1.4,-2.2,-0.7
"Cliff Swallow",1970,10,2019,2009,0.9,-0.2,2.4,0.06,1.6,1.3,2,1.4,1,1.8,2.3,1.3,3.6
"Common Gallinule",1970,10,2019,2009,-1.3,-3.6,1.3,0.84,-0.6,-1.3,0.1,-0.4,-1.1,0.4,-1.6,-3.7,0.8
"Common Goldeneye",1970,22,2019,1997,-0.6,-2.1,0.6,0.8,0.2,-0.2,0.7,0.5,-0.3,1.3,-0.1,-1,0.7
"Common Grackle",1970,13,2019,2006,-1.3,-1.7,-0.9,1,-1.8,-1.9,-1.7,-1.4,-1.5,-1.3,-2.7,-3.1,-2.4
